fold,model,forecast_wind_regime,n,mae,bias
2025-10,curve,4to8,586,0.2389125240674905,-0.13154218578298274
2025-10,curve,8to12,140,0.27890960431703155,-0.13031132288301153
2025-10,curve,above12,14,0.02968421759116176,0.01588192611303388
2025-10,curve,below4,634,0.09239404301260784,-0.08457581881056503
2025-10,direct_median,4to8,586,0.2279936575654152,-0.07242966439135382
2025-10,direct_median,8to12,140,0.18723845238095232,0.0594103571428572
2025-10,direct_median,above12,14,0.047023809523809426,-0.027499999999999913
2025-10,direct_median,below4,634,0.09239642481598313,-0.06977781282860149
2025-11,curve,4to8,730,0.2641308837530206,-0.20229085159966276
2025-11,curve,8to12,214,0.22731756435836142,-0.15765339445558063
2025-11,curve,above12,42,0.03887889310252836,0.002223365807143874
2025-11,curve,below4,454,0.07551390606862882,-0.060306652421494564
2025-11,direct_median,4to8,730,0.23845600456621002,-0.11554221461187214
2025-11,direct_median,8to12,214,0.10864641744548281,0.020795638629283516
2025-11,direct_median,above12,42,0.06501587301587303,-0.033571428571428585
2025-11,direct_median,below4,454,0.07578630690161522,-0.041914280469897224
2025-12,curve,4to8,716,0.27770496672473965,-0.18390597420021687
2025-12,curve,8to12,307,0.21549501988131528,-0.03873547606919145
2025-12,curve,above12,29,0.031039320387587492,-0.00022840174404139456
2025-12,curve,below4,422,0.1628492187726866,-0.15257318264543124
2025-12,direct_median,4to8,716,0.2475615456238361,-0.061510614525139666
2025-12,direct_median,8to12,307,0.19315412595005424,0.16564543973941367
2025-12,direct_median,above12,29,0.021727011494252848,0.01790057471264368
2025-12,direct_median,below4,422,0.16035754344391778,-0.13841433649289103
2026-01,curve,4to8,688,0.2126369751031037,-0.08233487034424122
2026-01,curve,8to12,248,0.2702040143393826,-0.06448040213505225
2026-01,curve,below4,552,0.09011381597983917,-0.0762288506562151
2026-01,direct_median,4to8,688,0.23180111434108525,0.058788614341085274
2026-01,direct_median,8to12,248,0.23470342741935477,0.1843709005376344
2026-01,direct_median,below4,552,0.09077518115942024,-0.06217783816425122
